,author,comment,published_at
31,@Spnnz-x3w,ถ้าหากเขตได้เปิดมาฟังเพลงนี้ ขอให้รู้ไว้ว่าเรายังคิดถึง ขอให้รู้ไว้ว่าเธอคือคนที่มอบความรักดีๆให้เรา ไม่ว่าจะนานเท่าไหร่เราจะจดจำเธอเสมอ หากมีโอกาสย้อนเวลากลับไปเราจะไม่ทำเรื่องแย่ๆใส่เธอ ถึงวันนี้เธอจะเริ่มต้นใหม่ หรือเป็นอย่างไร ฉันคนนี้ก็ยังอยู่ที่เดิม😢 ต่อจากนี้ไม่รู้ว่าอีกนานแค่ไหน ก็ยังไม่รู้ว่าจะกล้าเริ่มต้นใหม่กับใครไหม เรารักแกมากนะเขตแล้วเราก็คิดถึงแกมากๆเหมือนกัน❤,2025-04-28T10:09:43Z
32,@panstherpanther9590,ฟังแล้วให้นึกถึงเพลงอย่าพูดเลย “อย่าว่าเธอรักคนอื่นเลยยยยย” มีใครคิดเหมือนกันไหม,2025-04-28T08:38:30Z
33,@pxthanakorn4784,ถ้าฟังแบบไม่ดู MV นี่โคตรดี โคตรเพราะ โคตรอันตราย 👍,2025-04-28T08:23:36Z
34,@Bb-cp9es,เพลงนี้รู้สึกเสียงดนตรีมันตีจนกลบเสียงนักร้องยังไงไม่รู้,2025-04-28T06:27:16Z
35,@Daxtra-f1q,เข้าปีที่ 15 แล้วก็ยังคองโสดมาจนถึงทุกวันนี้เพราะคำว่า รักใครไม่ได้อีก T^T,2025-04-28T06:18:09Z
36,@phornphornchai6407,🥹,2025-04-28T04:17:50Z
37,@ช้างน้อย-ซ8ฟ,😘,2025-04-27T23:38:26Z
38,@SarunyuPrueksa,😚,2025-04-27T16:47:11Z
39,@LIL-THX,เพลงก็ดีฟัง MVก็ต้องดู 😅 ฟังรอบเดียวไม่ได้จริงๆ วนซ้ำๆ😊,2025-04-27T14:39:47Z
40,@EkkapuntThingtham,มันโดนกลับชีวิตจริง😢,2025-04-27T12:40:27Z
41,@Champylegends,พี่ทำให้ผมไปไม่เป็น มีใครไม่ได้มาเป็นปี ขอบคุณจริงๆสำหรับบทเรียนครั้งใหญ่ในชีวิต 😊,2025-04-27T11:37:32Z
42,@oporkizz5428,ฟังทั้วันละวันนี้,2025-04-27T10:59:09Z
43,@คนธรรมดาใช้ชีวิต,เป็น mv หรือ เคยเป็นเรื่องจริงคับ 😢😢😢,2025-04-27T10:49:14Z
44,@คุณเต่า-อ2พ,✌️✌️,2025-04-27T10:42:47Z
45,@chanidanew8,ดีทุกเพลงเพลงที่เราชอบหวัดดีเบล,2025-04-27T09:30:55Z
46,@calanekub,"ทั้งที่มันก็นานแล้ว จบไปนานแล้ว ……
ทุกๆคำในเพลงตรงใจเกิ๊นนนน 🥲 มุ.",2025-04-27T09:24:45Z
47,@thepopkittikoon8519,นางเอก คือใครครับ,2025-04-27T08:14:06Z
48,@นักลบบวกคูณหาร,บทเรียนที่ได้จากคนเก่า เพื่อให้ระวังตัวมากขึ้น แต่ต้องเต็มที่กับคนใหม่ ไม่ใช่กั้กไว้เพราะเคยเจออะไรมา อย่ามาอ้างว่าคนเก่าทำแบบนั้นแบบนี้มาถึงเป็นแบบนี้ คนใหม่ไม่ได้รู้เรื่องอะไร สำหรับคนที่ไม่กล้าเริ่มใหม่ ลองไปเริ่มดู แต่ต้องเต็มที่ อย่าไปกั้กพอ แต่ถ้าคิดว่า ตัวเองไม่สามารถรักใครใหม่ได้จริงๆ จงอยู่คนเดียว อย่าไปวุ่นวายกับใครเลย,2025-04-27T08:08:53Z
49,@เกษวรางค์เกษบึงกาฬ-ต3ต,ไม่กล้าเริ่มใหม่กลัวเจ็บกว่าเดิม,2025-04-27T07:50:35Z
50,@petayboosapawanich4256,ดี,2025-04-27T07:44:49Z
51,@AekkawatPakdeekum-yu5gw,🤟,2025-04-27T06:37:11Z
52,@วิศรุตระดาบุตร,ตั้งแต่ปล่อยเพลงนี้มา ฟังเพลงนี้ทุกวันเลยครับ เปิดฟังบ่อยมาก☺️,2025-04-27T03:30:26Z
53,@bootclashboy,👏👏👏👏👏,2025-04-27T02:51:58Z
54,@วะว้าว-พ3ฉ,☺️,2025-04-27T02:07:17Z
55,@FlukKungtt-r8l,เพลงนี้อันตรายมากครับ ถ้าไปฟังใกล้งูจงอาง,2025-04-27T01:30:46Z
56,@anuchittermpech9979,แปลกนะเพลงบางเพลงมันมักจะมาตรงจังหวะเวลาของช่วงชีวิตจริงๆ 🥹🥲😭,2025-04-27T00:23:36Z
57,@tainawattaitakoon2405,ยังกลับมาฟังอยู่ 2026,2025-04-26T16:11:07Z
58,@nawareesomrod9415,การที่เราเริ่มต้นกับคนใหม่ แค่ก็ลืมคนในใจไม่ได้สักที,2025-04-26T15:58:00Z
59,@Leemaz0,ยอมรับว่าเคยรัก แต่ก็เลือกเดินไปข้างหน้าทั้งที่ไม่มีเธอ 💪,2025-04-26T11:58:28Z
60,@SizE-,วนเวียน ในความทรงจำ  แต่ทำอะไรไม่ได้ 😢😢😢,2025-04-26T11:48:31Z
61,@ingfarzzznnp3630,3:22 ชอพี่กิตตอนนี้อ่ะ หน้านิ่งมาก555555,2025-04-26T11:13:28Z
62,@patinyasukunta1402,ไม่ได้จมอยู่กับอดีต ไม่ใช่ไม่เปิดใจ แต่ทำยังไง ก็ไม่เคยลืมรอยยิ้ม เสียงหัวเราะ และยังคงเฝ้ารอวันที่จะวนกลับมานะ นน.,2025-04-26T10:28:44Z
63,@Catrunjii,ความรู้สึกเหมือนได้กลับมาเจอพวกเอ็งอีกครั้งเลยว่ะ,2025-04-26T08:39:57Z
64,@prapatsorn-kt3857,ไม่ไหวจริงๆ 🥹,2025-04-26T08:35:54Z
65,@คุณศักดิ์ชายชาติสุข,โครตเพราะ,2025-04-26T05:55:10Z
66,@natagonratanopas5847,บาดแผลกำลังจะหายแล้วเชียว ปากแผลเปิดอีกแล้วเรา,2025-04-26T04:54:21Z
67,@AnuchitPoederm,กินใจสัสครับพี่,2025-04-26T04:04:15Z
68,@centy-j7y,รอลงไอจีๆๆๆ🥹,2025-04-26T03:02:32Z
69,@thailandchannel3401,😎,2025-04-25T21:02:59Z
70,@ธนาวุฒิเชิดชู,"26/4/68
เป็นวันที่เจ็บและเดียวดาย😢😢😢",2025-04-25T19:44:05Z
71,@บักเปิบฮอริเดย์,2025 ใครยังฟังอยู่บ้าง👇,2025-04-25T17:42:37Z
72,@chokchai2527,เพลงนี้ก็เป็นอีก 1 เพลงที่เป็นลายเซ็นของวง TMD,2025-04-25T14:42:09Z
73,@Nupk-gv6kc,เพลงเพราะมากๆครับ ต้องเปิดฟังซ้ำ  วนไปมา❤,2025-04-25T14:15:37Z
74,@JameWiraphat,ยิ่งฟังยิ่งซ้ำใจ,2025-04-25T13:09:39Z
75,@peemullet6186,เพลงอย่างเพราะ,2025-04-25T12:46:34Z
76,@ยศพลขุนศรีรักษา,เพลงนี้เริ่มทางร็อคมาก ชอบๆ,2025-04-25T12:35:12Z
77,@ชินจังเห้ยเห้ย,😊😊😊😊,2025-04-25T11:37:24Z
78,@runna1109,พวกนายร้องเพลงกันต่อเลย ส่วนตัวผมจะร้องไห้เอง😢,2025-04-25T10:42:04Z
79,@NutchadaSapmak,ออกเพลงใหม่ได้เลยค่ะ น้ำตาพร้อมมาก,2025-04-25T08:20:43Z
80,@lmeealongkornynwa3004,"2.15
จะมีเสียงแทรกคนจามนะครับ ลองฟังดีๆ",2025-04-25T07:27:56Z
81,@jee1732,😢,2025-04-25T06:15:46Z
82,@dekvan00,เพลงดีแต่ MV แอบใจร้าย เอาตายเลยหรอ 555+,2025-04-25T04:21:30Z
83,@NAM_MON31,ทำไมเเกอยู่ในความคิดของเราตลอดเลยว่ะะ😢,2025-04-25T04:17:16Z
84,@N9zarul,I don't speak or understand Thai but I'm loving this so much and I have been listening to it on repeat. Awesome work guys !,2025-04-25T03:52:55Z
85,@วาสนาบินรัมย์,ชอบ,2025-04-25T02:53:39Z
86,@ดาวประกายรุ่งเรืองศรี-ฦ2ฦ,ก็ว่าทำมั้ยฝันถึงเพลงแต่ไม่เคยได้ยินอ่อเพลงใหม่,2025-04-25T02:06:25Z
87,@RubybearJ,ทำไมเค้าถึงลืมเราง่ายดาย คงมีแค่เรานี่แหละที่จะเปิดใจรักใครยังไม่กล้าเลย 😢,2025-04-24T18:38:59Z
88,@oreo8799,จากวันที่ 23-03-2562 เป็นวันแรกที่เราคบกันจนตอนนี้ก้ผ่านมาหลายปีแล้วเลิกกันได้ปีกว่าก้ยังเริ่มต้นใหม่กับใครได้สักที😢,2025-04-24T17:21:31Z
89,@PEAKUN6,เมื่อก่อนมึงไม่เห็นจริงจังห์แบบนี้เลย,2025-04-24T15:42:06Z
90,@thanapornpamonaka1996,"ผู้หญิงบอก ไม่สามารถรักใครได้ไหม
กิต     บอก เหมือนกัน",2025-04-24T15:41:31Z
91,@clashnick,❤️,2025-04-24T15:08:45Z
92,@kentrainertv8475,โคตรดี!!!,2025-04-24T15:01:12Z
93,@hunmayoujiro1606,บอกแล้วไงอย่ารับมือเบสผู้หญิง 😅😅,2025-04-24T12:04:44Z
94,@น.ส.เปรมวดีสิงห์คีรี,2 ปีที่ไม่ได้เจอ ไม่ได้ยินเสียง จดจำแต่สิ่งดีๆ จำได้แค่ว่าเรารักกันมากแค่ไหน ชีวิตตามเนื้อเพลงล้วนๆ.,2025-04-24T11:20:39Z
95,@Phumsak,ดังแน่,2025-04-24T10:03:10Z
96,@nackstudio8411,🤍,2025-04-24T04:44:23Z
97,@amnad.k8979,นาที 2:14 เหมือนมีเสียงแผ่นสะดุดไหมนะครับ หรือผมคิดไปเอง,2025-04-24T03:28:48Z
98,@KritsadaModtong,เพลงโครตดีย์..,2025-04-24T02:42:23Z
