,author,comment,published_at
415,@mr.srurpee1216,เเอดกิตชก1เเต้ม,2025-04-11T06:01:54Z
416,@Kheemook24,นี่เข้าใจว่า หวงมือกลอง หรือข้าพเจ้าเข้าใจผิด,2025-04-11T05:59:30Z
417,@mheeelder,เต : บอกแล้วใช้มั้ยว่าให้ซื้อหมี่เกี๊ยว!!!,2025-04-11T05:33:42Z
418,@Santacros.,ผมเกลียดคุณไม่ได้หรอก เหมือนที่คุณรักผมไม่ได้,2025-04-11T05:24:58Z
419,@pp_spy,ถ้าเอ็งได้เข้ามาฟัง อยากจะบอกว่าเนื้อเพลงทั้งหมดตรงกับข้ามากๆ ข้าคิดถึงเอ็งทุกวันมาตลอดจะ5ปีแล้ว ยังไม่เคยลืม และคิดว่าคงไม่มีทางลืมได้หรอก กระดาษที่เขียนบอกชอบเอ็งวันนั้น ข้ายังจำได้ดี มันมีฉบับที่2ด้วยนะ อยากให้เอ็งได้อ่าน คิดถึงเอ็งมากๆเลย พี่เป็ด😢,2025-04-11T05:08:42Z
420,@ConSidTra,ผมไม่สามารถรักใครได้อีก เพราะหัวใจของผมแตกสลายไปหมดแล้ว,2025-04-11T05:06:56Z
421,@mitchaisiri1996,เพราะในใจเรายังไม่เคยลืม 🫠,2025-04-11T04:38:58Z
422,@njmnwp2047,เพลงโคตรดี โดนทุกท่อน จะบ้าา,2025-04-11T04:37:18Z
423,@sodeso52,"ผมรักใครไม่ไหวแล้วจิงๆนะ
15เมษาเจอกันที่เซ็นทรัลอยุธยานะคับ
ทรีแมนดาว เรารอพวกคุณอยู่",2025-04-11T04:26:51Z
424,@phengkanyaaphilak6355,besttttttt,2025-04-11T04:06:37Z
425,@Centralget,พี่ต่อยกันทำไมค้าบบ,2025-04-11T03:51:42Z
426,@สุภาพร-ฉ5ฟ,ร้องไห้จบเเล้วเพลงใหม่มาซ้ำได้เลย😂,2025-04-11T02:59:14Z
427,@iloveanime2151,1,2025-04-11T02:54:11Z
428,@bloodygalz4920,อยากฟังเพลงนี้ร้องสดมากๆเลยค่ะ 😢 นั่งวนเพลงนี้มาเป็นชัวโมงร่ะ,2025-04-11T02:00:55Z
429,@dalimask9602,SuckSeed,2025-04-11T01:58:47Z
430,@boonyaridtongkham5738,นางเอกเดียวกันกับ [ฉันอยากเห็นเธอยังยิ้มได้อยู่] ของ Bodyslam  ใช่รึป่าวครับ,2025-04-11T01:58:20Z
431,@wasawatchittachalothorn7839,เพราะเลย  นี่แหละ กลิ่นอายของ ทรี แมน ดาว,2025-04-11T01:56:37Z
432,@120วาสนาถุงคํา,โดนมากเลย😢,2025-04-11T01:49:35Z
433,@อ่านสิจ๊ะ,เสียงดนตรีเพลงนี้ดังกว่าเสียงร้องอีกนะ,2025-04-11T01:47:22Z
434,@วรเมธสาดา-ช6ภ,เพลงนี้โครตโดน,2025-04-11T01:33:43Z
435,@nr.tuckonelow-thc-1371,เธอยังคือที่หนึ่งในใจผมเสมอ#เขมิกา🥹,2025-04-11T01:31:17Z
436,@ตังเกที่แปลว่าผู้ที่ผิดหวังเสม,บางทีเหตุผลมันมีไม่กี่อย่าง  ที่เราไม่เคยคิดไปรักใครใหม่ได้อีก,2025-04-11T01:20:16Z
437,@arnonsukhum,ร้องไห้เสร็จแล้วครับ ลงเพลงใหม่ต่อเลยครับยังไหว,2025-04-11T01:02:34Z
438,@GkCh-i1x,เพลงนี้ทำให้ฟังไม่จบเพลง น้ำตาจะไหล,2025-04-11T00:51:31Z
439,@f4nkz,เวลาของกูเหลือไม่มากแล้ว กูรอมึงต่อไปไม่ไหวแล้วว่ะเพื่อน😂,2025-04-10T23:31:29Z
440,@exonaxd9285,โหยเพลงโครตดีย์MVดีอีกแล้วชอบมากโดยเฉพาะฉากนี้01:20ทำให้นึกถึงตอนซ้อมดนตรีกับเพื่อนเลย❤,2025-04-10T22:54:18Z
441,@ashbornxg5228,สงสารนางเอก เสียน้ำตา สองMVละ 55,2025-04-10T22:49:20Z
442,@Wxchxm08,ก็จริงทั้งที่จบไปนานแล้วทำไมถึงไม่กล้าไปเริ่มใหม่สักที,2025-04-10T22:48:31Z
443,@wannasalevtg,อย่างกับเเต่งเพลงให้เพื่อนมือเบส เห็นมีเบสวางไว้ตอนจบ,2025-04-10T21:37:39Z
444,@Nani-xg8hk,เมื่อก่อนมึงไม่เห็นจริงจัง(ห์)แบบนี้เลย,2025-04-10T21:00:18Z
445,@RECON66-c2g,^^,2025-04-10T19:57:53Z
446,@BBBOOM-l8s,ป้ายยา นางเอกMv หน่อยครับ เห็นหลายMvละ อยากตามผลงานครับ,2025-04-10T19:48:29Z
447,@betamotwin,สองปีกว่าเเล้วที่จากกัน ไม่เคยหมดรักเลยทั้งๆที่เธอไปรักคนอื่นนานเเล้วส่วนทางนี้รักใครไม่ไหวจริงๆ😭,2025-04-10T19:40:04Z
448,@xblackland6470,เพลงนี้ทำชั้นอกหักเว่อ ไม่ต้องมีแฟนฟังแล้วก็เศร้าได้อ่า ทำถึงสุดๆ,2025-04-10T18:46:59Z
449,@PCLM-q8z,ทำไมเธอถึงรักคนอื่นได้ทั้งๆที่ตอนนั้นมีเราอยู่ด้วยได้ลงนะ.😢,2025-04-10T18:37:34Z
450,@เซลากาโปย-A19,แล้วแบบนี้เมื่อไหร่จะ Move on จากเค้าได้อ่ะ🥺,2025-04-10T18:30:19Z
451,@YanikaBoontum,ฟัง ไปแล้ว 200 รอบ 😂,2025-04-10T18:29:28Z
452,@nakarinpr,เพลงสมัยนี้ดีหว่ะ ไม่ต้องสนวรรณยุกต์,2025-04-10T18:26:07Z
453,@Nathapon-s9l,ฟังครั้งแรกกก็ติดหูละอะไรเนี่ยยยโอ้ยยชอบ,2025-04-10T18:00:49Z
454,@andareeyahyama8950,คนที่เคยเป็นโลกทั้งใบของเรา จะให้รักใครใหม่ได้ยังไงไหว,2025-04-10T17:56:34Z
455,@holy141,ความสัมพันธ์ที่เคยเป็นโลกทั้งใบของเรา. .🌻,2025-04-10T17:46:39Z
456,@priew5373,ติดหู ตั้งเเต่ฟังวันแรกเลย ❤,2025-04-10T17:18:04Z
457,@สุมาลิน_แม้นวิลัย,ไม่กล้าไปรักใครจริงๆ ลองคุยก็แล้ว แต่มันไม่ได้ เขายังติดอยู่ในใจตลอด😢😭,2025-04-10T16:54:03Z
458,@marylyngapio169,I misss you Guiz welcome back Three Man Down🥺🥺🥺🥺🥹🥹🥹. I miss this type of signature melody and lyrism of TMD. ❤❤❤💓💓💓.,2025-04-10T16:50:35Z
459,@007sarawut,ทำเพลงที่มีกลิ่นอายยุค 2000ต้นๆ เลยดีมากครับ,2025-04-10T16:38:45Z
460,@champthesoy1677,ขอให้พี่กิตหายป่วยกลับมามองเห็นได้ปกติครับ พระคุ้มครอง🙏,2025-04-10T15:50:10Z
461,@FahChu-k5n,😢,2025-04-10T15:28:26Z
462,@CANDYx9,❤❤❤,2025-04-10T15:19:57Z
463,@djs2875,พูดถึงอดีตสมาชิกรึป่าวววว หรือ ไสตล์แบบแรกเริ่มของตัวเอง ❤,2025-04-10T14:43:08Z
464,@Tew1122zx1,ห่างกันไปนานมาก แต่ไม่มีวินาทีไหนไม่คิดถึง แค่อยากรู้ว่ามีซักแว๊ปหนึ่งไหมที่เขาจะคิดถึงเรา แค่นึกถึงก็ยังดี❤,2025-04-10T14:42:39Z
465,@gg21may,😢,2025-04-10T14:41:09Z
466,@nY0ree_joRee,딱 쓰리맨다운 감성이다.ㅠㅠ,2025-04-10T14:40:16Z
467,@23Z_zzz,✌🏻,2025-04-10T14:39:41Z
468,@tangtong3340,คิดถึงโว้ยยยย😭,2025-04-10T14:34:53Z
469,@theerawutsonpakdee3987,โดนใจมาก ฟังตลอดเลย😊,2025-04-10T14:25:35Z
470,@nichachonnicha-nicha,เพลงดีมากเลยฮือ🥺,2025-04-10T14:16:03Z
471,@peppona05,กลิ่นบอดี้แสลมแรงมาก,2025-04-10T14:04:49Z
472,@kittikhunsukasem5142,0:19สำหรับที่ไม่อยากฟัง teaser,2025-04-10T14:03:47Z
473,@autro2ity,ฟังเพลงนี้แล้วทำให้ไม่อยากฟังเพลงอื่นอีกเลยในช่วงนี้😂 ขอบคุณที่ทำเพลงที่เป็นคำตอบอยู่ในใจของผมนะคับ เป็นกำลังใจให้คับ😊,2025-04-10T13:40:59Z
474,@blackcatmeow9072,ขอเพลงรักๆๆ มั่งได้ไหมพี่กิตงับ เศร้าทั่งปีแล้ว,2025-04-10T13:31:50Z
475,@rttnk632,เต้นได้สะใจมากกกกก❤️‍🔥❤️‍🔥,2025-04-10T13:10:48Z
476,@AnaiiPm,เจ็บปวดส่วนเรา  แต่เขาเริ่มต้นใหม่ได้ดี🥲,2025-04-10T13:08:46Z
477,@aumcholnida5719,❤,2025-04-10T13:08:15Z
478,@methawinjohnvirat1325,นางเอก MV คือใครหรอครับ น่ารักดีอยากติดตาม,2025-04-10T12:46:57Z
479,@jhachinnaporn3506,"คนที่ถามว่า จะอยู่ด้วยกันมั้ย
คนที่ ลังเลว่าจะอยู่หรือไป
คนที่ไล่ให้เราออกไปจากชีวิตเค้า คือคนคนเดียวกัน 
ตอนรักกัน ตกลงกัน2คน พอเลิกกันกลับคิดอยู่คนเดียว",2025-04-10T12:35:55Z
480,@saranyaainsornsuwan55,เพลงรัก มีแค่เพลงเดียว ที่เหลือเพลงเศร้าเคล้าน้ำตา😢,2025-04-10T12:08:05Z
481,@SamirNasri1771,เรียบร้อยวงแตก,2025-04-10T12:07:46Z
482,@EMZs9r,"คุณจะรักใคร 
หรือไม่รักเราแล้ว 
อันนั้นมันเรื่องของคุณ 
ผมจะยังรักคุณ  
ยังคิดถึงคุณ
ก็เป็นเรื่องของผม   
 
ไม่จำเป็นต้องรัก ไม่จำเป็นต้องรู้สึก 
ให้เป็นหน้าที่ของผมเอง",2025-04-10T11:58:32Z
483,@maneep8685,คุณตูนเขียนเพลงได้ดีมากเลยค่ะ และทุกคนถ่ายทอดออกมาได้ดี😊,2025-04-10T11:40:15Z
484,@KameiRyo-j5p,"คือ ใครพอจะทราบตอนจบที่พระเอกบอกว่า ""เหมือนกัน"" ในสายกัับนางเอกได้บ้างก่อนที่นางเอกจะโดนรถชน มันหมายถึงอะไรหรอ เพราะตอนนางเอกโดนรถชน นางมีแอบยิ้มนิดนึง คือนางเอกบอกชอบพระเอกหรอ แล้วพระเอกเลยบอกว่า เหมือนกัน หรือยังไง เราคาใจ 555555",2025-04-10T11:10:39Z
485,@wisarutmuangmoon3445,ต่อให้เขาทำกับเราแค่่ไหนก็ยังวนกลับมาที่เดิมเสมอมันคงเพราะรักมากจริงๆยังจำได้หมดเริ่มกับใครต่อไม่ไหวเลย🥲,2025-04-10T11:08:37Z
486,@พิสุทธิ์เฟื่องฟู-ฆ8ว,"❌ร้องตาม

✅ร้องไห้ 😢",2025-04-10T10:57:18Z
487,@bxdboy.43TH,😔🤐🤎🍂,2025-04-10T10:49:54Z
488,@Bbank8198,ไอ้สองเอ้ยยยย เพลงอย่างโดน สุดด,2025-04-10T10:40:25Z
489,@Hewjoke,ขอพี่ตูนเป็นพระเอก MV สักเพลงครับ <3,2025-04-10T10:03:59Z
490,@maryme6696,โคตรเก่ง!!!! ออกมากี่เพลงๆก็ชอบ ไม่รู้จะชมยังไงดี เก่งมากกกกกกๆๆๆๆๆๆๆ,2025-04-10T09:50:16Z
491,@SulanTigerboyz,"ข้อห้ามของคนที่อยากมีเพื่อนแท้
คืออย่าเอาเมียเพื่อนสนิทที่เลิกกันแล้ว
มาเป็นเมียตัวเอง เพราะคุณจะได้ศัตรูที่คุณรักเขามากที่สุด",2025-04-10T09:46:51Z
492,@Fudultkj12,ไม่เข้าใจmv อธิบายให้ฟังที,2025-04-10T09:46:43Z
493,@Layla-q6u,1วัน1ล้านอย่างเท่อ่ะ,2025-04-10T09:40:36Z
494,@godhead01,"ท่อนที่ร้องว่า “เธอคงคิดว่าฉันนั้นลืมไปแล้ว และเธอคงไม่รับรู้เลยใช่ไหม ว่าฉันนั้นยังคงเก็บมันเอาไว้ทุกทุกอย่าง”

มันเจ็บมากจริงๆ โคตรจุก",2025-04-10T09:38:16Z
495,@setzero0490,การเริ่มใหม่ไม่ได้ง่ายสำหรับใครบ้างคน,2025-04-10T09:37:16Z
496,@MankzEngland,เพลงนี้ดังชัววิวขึ้นเร็วมากเพลงโดนใจ,2025-04-10T09:35:57Z
497,@japanja4272,อยากได้วาปนางเอกMV,2025-04-10T09:18:43Z
498,@pongsathornjenrungsan6958,"สรุปเนื้อเรื่องให้หน่อยครับ ใครชอบใคร นักร้องชอบมือกลองจริงมั้ย 
แล้วจะผญ.ตุยอีกมั้ยครับ ตุยไป 2 แล้วแงง",2025-04-10T09:08:28Z
499,@benyapakhansanorh5264,เจ็บลึก 😪,2025-04-10T09:01:55Z
500,@special4838,ดีทุกเพลง👍,2025-04-10T08:59:55Z
501,@cstcqc2493,แปลกน้อ เธอเริ่มใหม่ไปไหนต่อไหนแล้ว  เรายังตามหาคนที่เหมือนเธอ นิสัยเหมือนเธอเป๊ะๆๆอยู่เลย 😢😢😢,2025-04-10T08:58:08Z
502,@wachiramitchasin2209,MV เหมือนหนังซักซี้ดเลย เอิน คุ้ง เป็ด 😢,2025-04-10T08:25:57Z
503,@DDiamond_NN,พี่ร้องเพลงมาเลยค่ะเดี๋ยวหนูร้องไห้เอง😂,2025-04-10T08:21:07Z
504,@อุดมเกียรติฉายวิเศษพล,🤍🤍🔥🔥🤘🏻🤘🏻,2025-04-10T08:17:45Z
505,@maeyed_apparel,Bodyslam vibes,2025-04-10T08:09:52Z
506,@khaomoodaeng,เกือบลืมเขาได้จริงแล้วแต่ทำไมต้องช่วงนี้มีแต่เพลงที่ทำให้คิดถึงเขา😢(เพลงดีเกินอินมากกลับไปหาเขาดีกว่า😊),2025-04-10T08:04:44Z
507,@จักรพรรดิ์หารพล,เข้าไอจีเร็วๆๆๆ,2025-04-10T07:50:02Z
508,@seek-1243,นางเอกนี่แฟนเจมจิหรอ,2025-04-10T07:42:08Z
509,@กําพลฤกษ์อุดม,ดีมากครับ,2025-04-10T07:40:05Z
510,@Tabtim1a,แต่ก่อนความรู้สึกเราก้เปนแบบเพลงนี้ แต่ตอนนี้ไม่ใช่ละ,2025-04-10T07:26:35Z
511,@BeerandBlack,😢,2025-04-10T07:23:04Z
512,@kirakiki3118,เพลงโคตรดี ล้านวิวไวมาก,2025-04-10T07:16:05Z
513,@Bloodbadz,จากวันแรก3-4ปีที่ผ่านมา ยังมีแค่เธอ ยังมีเพียงเธอ คนเดียวในหัวใจ,2025-04-10T07:13:01Z
514,@leonzio6920,"จากที่เดาแบบมั่วๆ คิดว่าฟ้ากับพี่กิตอาจจะเคยรักกันหรือรู้สึกดีๆ มาก่อน ฟ้าก็เหมือนยังรู้สึกด้วยอยู่ แต่ก็ยังเป็นเพื่อนกัน ฟ้าก็รู้ว่าพี่กิตป่วย จากนาทีที่ 2:57 ฟ้าน่าจะเห็นตอนที่พี่กิตยัดยาใส่เป๋าเกง ตอนท้ายเอ็มวีถ้าเดาน่าจะเป็นฟ้าโทรหาพี่กิตแล้วอาจจะบอกความรู้สึกอะไรสักอย่าง ส่วนพี่เตไม่ได้คุยเลยกลับมาดูที่ห้องซ้อม
นาทีที่ 3:43 ซีนที่ภาพบนเวทีเบลอ จากการมโนและการเดาถ้าสังเกตดีๆ เหมือนจะเป็นภาพวงที่พวกพี่กิตซ้อมกันมา ทั้งเสื้อนักร้องสีแดงก็เหมือนกับที่ใส่ในเอ็มวี สีเบสของคนฝั่งขวาก็คล้ายกับของฟ้า คนเล่นก็น่าจะเป็นผญด้วย อาจจะประมาณว่าภาพที่คิดไว้ว่าจะได้เล่นบนนั้นด้วยกันมันค่อยๆ ลางไปเรื่อยๆ มั้ง เหตุผลที่ต่อยกันนอกจากที่พี่เตชอบฟ้าแล้ว อาจจะเพราะว่าตัวเองเริ่มรู้ตัวว่าอาจจะเล่นตามที่ฝันไว้ด้วยกันไม่ได้อีกเพราะไม่รู้ว่าเวลาเหลืออีกแค่ไหน เลยซัดไปที มั้ง5555555",2025-04-10T07:10:12Z
515,@napatwallace972,เมื่อก่อน TMD น่าจะมีวงกัน 5 คนนะครับ,2025-04-10T07:03:19Z
516,@user-xo7cg7ej7p,บางครั้งความรักมันไม่มีเหตุผล ไม่รู้เสียด้วยซ้ำว่า ทำไมถึงได้รักคนนี้ รู้ตัวอีกที ก็คือรักไปแล้ว,2025-04-10T07:02:40Z
517,@Ann-h9z6j,Suka banget ❤️🥺,2025-04-10T07:00:09Z
518,@Ningsaowaluk,🥺,2025-04-10T06:59:34Z
519,@mmmammoth7892,เราจิงจัง แต่เราก็จอมแก่นด้วย,2025-04-10T06:48:08Z
520,@Badguyyxx,ผ่านมาก็นานแล้ว กลับดึงตัวเองไปเศร้าอีกเฉยเลยว่ะ.🥺,2025-04-10T06:32:15Z
521,@เอ้เอ้เอ๋เอ๋-ป7ด,เลิกกับแฟนเก่า เข้าใจมาตลอดว่าทำใจได้แล้ว พอฟังเพลงนี้ น้ำตาไหล นึกถึงเขาสุดๆๆ😢😢 เราจากกันสมบูรณ์แล้วนะเขาเริ่มต้นใหม่กับคนใหม่ตั้งแต่มีเรา😢 มีแต่เราไม่กล้ารักและเริ่มต้นใหม่กับใครอีกเลย😢😢😢😢,2025-04-10T06:19:08Z
522,@สิบห้าเยียร์,ลงไอจีตอนไหนครับ,2025-04-10T06:11:54Z
523,@DekOverdoze,ขอบคุณสำหรับเพลงดีๆแบบนี้ครับ กินใจสุดๆ 😢,2025-04-10T06:05:47Z
524,@iwillbethemonster,ถ้าไม่เปลี่ยน ก็จะไม่เจอสิ่งใหม่นะ ขอให้ก้าวออกมาจากความรู้สึกเสียใจได้ไวๆ นะตัวเรา,2025-04-10T06:01:32Z
525,@กรรณิกาพันแก้ว-ย9อ,พี่กิต ร้องเลย เดียวจะร้องไห้เอง,2025-04-10T06:00:42Z
526,@PAILENGAME,100 ล้านวิวอย่างตํ่านะครับ เพลงจึ้งมากจุกอกมากครับผม😢เข้าใจเพลงมากๆเลย,2025-04-10T05:50:36Z
527,@xmineeeex,HOWWWWW COME THE ENDING 😭😭😭😭,2025-04-10T05:43:30Z
528,@peach9555,เป็นเพลงที่ตรง แบบตรงกับคสพ.ตอนนี้มากๆ เปิดใจให้ใครก็ไม่ดีสักคน😢,2025-04-10T05:20:59Z
529,@SuphasinDitcharoen,🥀☁️🍃,2025-04-10T05:11:11Z
530,@ประสิทธิ์เนื่องภักดี-ฤ7ส,❤❤❤😢ยังไม่เคยลืมนะไม่ได้ยากรอแต่ใจมันสั่งให้จำ,2025-04-10T05:06:44Z
531,@Pnppt_1310xx,ทำมาให้ ร้องไห้ สินะ,2025-04-10T05:06:37Z
532,@newarmstrong5754,เพลงนี้เหมือนเอาชีวิตผมทั้งชีวิตไปแต่งเพลงเลยครับ ทั้งที่รู้ว่าเขามูฟออนไปไกลแล้ว ไปมีคนใหม่แล้ว แต่ผมก็ยังไม่สามารถเริ่มใหม่กับใครได้เลย 😢,2025-04-10T05:00:41Z
533,@TheBlackCoffee17,ทั้งเพลงทั้ง MV ทำให้นึกถึง โอม TMD เลย,2025-04-10T05:00:27Z
534,@worakorn555,หลงคิดว่าตัวเอง Move on ไปไกลมาก ๆ แล้ว จนกระทั่งได้ฟังเพลงนี้นี่แหละ 🥲,2025-04-10T04:51:28Z
535,@Fiw.0,เพลงดีเว่อๆๆๆ,2025-04-10T04:51:20Z
536,@machmanloworld8858,"หนูเอาเพลงนี้ไปบอกรักแฟนนะ จริงๆ มันเป็นเพลงรัก 55555+

ถึงไม่กล้าไปรักคนอื่นเลย รักใครไม่ไหว
ยังมีแค่เธอ ยังมีเพียงเธอ คนเดียวในหัวใจ
นับต่อจากนี้ ไม่รู้ว่าอีกนานแค่ไหน
กว่าที่ฉัน จะกล้าไปเริ่มใหม่",2025-04-10T04:51:09Z
537,@u.knowme6,รักของเรามันไม่ใช่ใครก็ได้จริงๆ : (,2025-04-10T04:50:25Z
538,@SBpongsatorn,โคตรดี 💕,2025-04-10T04:33:56Z
539,@sutineepoonsawad8444,ตรงกับสถานการณ์ตอนนี้มาก โห~ออกเพลงมาเอาน้ำตาฉันอีกและ,2025-04-10T04:15:56Z
540,@kitsadaceo9537,เเต่ละเพลงผมฟังเเล้วคิดถึงเขาคนนั่นเลยเเฟนเก่าคนโปรดถึงจะมีเเฟนใหม่ก็ยังมีเขาในตรงใหนสักที่ในใจเราที่ทำให้นึกถึงเขายุตลอดมา 2-3ปีเเล้ว,2025-04-10T04:13:40Z
541,@pavidaploytubtim5111,ถ้าเพลงจะเศร้าขนาดนี้ ร้องไห้ตาบวมแล้วนะ😭😩,2025-04-10T04:09:13Z
542,@cupcake2691,มีแนวเพลงเพราะๆแบบนี้สำหรับคนมีคู่ไหม​ ดันมาชอบเพลงนี้​ แต่ต้องแอบฟังคนเดียว​ เปิดฟังกับแฟนก็ไม่ได้เดียวหาว่ากูยังไม่ลืมคนเก่าอีก,2025-04-10T04:08:49Z
543,@Tor_fr_lol,วันเดียวยอดวิว 1M แล้ว 🎉,2025-04-10T03:57:20Z
544,@lolitoey1441,"นับต่อจากนี้ ไม่รู้ว่าอีกนานแค่ไหน
กว่าที่ฉัน จะกล้าไปเริ่มใหม่",2025-04-10T03:55:23Z
545,@sekpunkowin3660,จำไว้นะ อย่ามีมือเบสเป็นผญ 😁,2025-04-10T03:26:22Z
546,@airpot1462,"ไม่รู้อีกนานแค่ไหน
แต่ก็คงไม่กล้าจะเริ่มใหม่อยู่ดี😢😢",2025-04-10T03:18:14Z
547,@ReizyyBoy,พี่ร้องเพลง เดี๋ยวพวกผมร้องไห้เองคับพี่ 😢,2025-04-10T03:15:05Z
548,@mmaann_xd7193,ใครจะฟังก็ฟังส่วนผมจะร้อง ร้องไห้ 😢,2025-04-10T03:10:29Z
549,@parisasomboonsak9420,เพลงเพราะมาก รู้สึกติดหูมากๆค่ะ,2025-04-10T02:40:51Z
550,@nittayaaranmit8050,มือกลองชอบมือเบส มือเบสชแล้วนักร้อง นักร้องชอบมือเบส แต่ที่ออกจากวงน่าจะมือกลองติดเล่นแลดูไม่จริงจัง บวกกับตัวเองเริ่มสูญเสียการมองเห็น เพราะภาพนางเอก MV เริ่มเบลอ ตอนไปดูคอนภาพก็เริ่มเบลอ แถมแอบเพื่อนกินยา แต่ถ้าจังหวะที่พี่กิตแกซีดพี่เตแล้ววพลาดไม่โดนคือ หลุดนะ5555,2025-04-10T02:33:29Z
551,@ภัสสร-ย2ฉ,พอตซักซี้ดป่ะ มันคุ้นๆ😂,2025-04-10T02:24:11Z
552,@WiphasineeSumchya,ไม่กลัวรักไม่ไหวกลัวรักเป็นแบบเดิมคงไม่ไหว,2025-04-10T02:22:43Z
553,@godzilla-1991,❤❤❤,2025-04-10T02:18:46Z
554,@chosita1795,ผ่านมา2ปี กับการไม่เจอหน้า ไม่มีการพูดคุย เขาเริ่มต้นใหม่ไปได้ไกล ส่วนเรายังรักมั่นคงและคิดถึงเขาในทุกวัน ไม่ใช่ไม่อยากเริ่มต้นใหม่ ไม่ใช่ไม่อยากเจอรักที่ดี แต่พอจะเริ่มต้นคุยกับใครใหม่มันก็ดูยากดูน่าเบื่อไปหมด คุยได้วันสองวันก็ไม่อิน ก็ไม่รู้เหมือนกันว่าจะเริ่มต้นใหม่ได้อีกครั้งเมื่อไหร่…😢,2025-04-10T02:15:10Z
555,@domkunagorn1051,ขอวาปนางเอก MV ทีค้าบบบบ,2025-04-10T02:14:11Z
556,@Pingpong-p0,"""ฝันถึงแฟนเก่า ถ้าเธอรักฉันจริง ขอโทษที่ติดต่อไป รักใครไม่ไหว""",2025-04-10T02:13:16Z
557,@วินัยโชติมาศ,พอดูเอ็มวีเพลงนี้จบ เข้าใจกิตเลย ตอนที่ป่วยเรื่องจอประสาทตา  ว่ามันทรมานขนาดไหน,2025-04-10T02:02:28Z
558,@Game-For-Future,ตั้งเเต่เลิกกับคนล่าสุดไปนิสัยเราเปลี่ยนไปเป็นคนละคนเลย ไม่เคยไว้ใจไม่กล้าให้ความรู้สึกกับใครอีก เขามาให้เราเป็นเวอร์ชั่นที่ดีกว่าเดิม เเต่ทำไมถึงไม่อยู่จนเราอยู่ในเวอร์ชั่นที่สมบูรณ์วะ,2025-04-10T01:53:29Z
559,@PinkyBooblue,พี่กิตเปิดก่อน เอาไป1 แต้ม // เพลงนี้ฟังแล้วคิดถึงเทอจังอะD,2025-04-10T01:40:13Z
560,@dlk5480,ตอนสุดท้ายผญโทรหาใครอ่ะ,2025-04-10T01:26:30Z
561,@iloveanime2151,1,2025-04-10T01:13:02Z
562,@PNUCHY12,เข้มแข็งแทบตาย มาร้องไห้เพราะเพลงนี้ 😭😭😭,2025-04-10T01:07:31Z
563,@บอยเมืองลอง-ฐ9บ,♥️♥️♥️,2025-04-10T01:00:24Z
564,@sripraeutsa3410,นึกถึงกลิ่นไอของวงเล้าโลมเลย,2025-04-10T00:50:20Z
565,@gnapcyd8381,"คิดถึงดนตรี+แนวเพลงเศร้าๆแบบนี้ของtmd มากค่ะ 
เศร้าจนอยากกลับไปหาแฟนเก่าเลยค่ะ ว่าและ ทักไปหาดีกว่า",2025-04-10T00:42:02Z
566,@ปวีณกล่อมสุวรรณ,เพลงรักเพลงเดียวสินะ😂,2025-04-09T22:47:27Z
567,@alansmith9933,นักร้องนำขับรถชนมือกีตาร์ เพราะมือกีตาร์ขัดขวางความสัมพันธ์ของนักร้องกับมือกลอง 👨‍❤‍💋‍👨,2025-04-09T22:44:33Z
568,@Wave-st2ih,ดี,2025-04-09T22:00:02Z
569,@tor-b1n,😢,2025-04-09T21:57:32Z
570,@apicahiwawaeni,"ไม่ได้รู้จักวงนี้เลย ไม่เคยฟัง ผมเข้าไปแอบดูโปรไฟล์แฟน 
เห็นโพสต์ 1ชั่วโมงที่แล้ว  ลองเข้าไปสักหน่อย  นี้ตี4แล้ว  วนซ้ำๆ 6รอบแล้วเนี่ย ไม่น่าเลยตู    J&B",2025-04-09T21:14:19Z
571,@txxm-bxa,กลับมาฟังด้วยกันอีกดิ,2025-04-09T20:50:26Z
572,@mailnewmk,รักเพลงนี้มาก   ความรักมันยากจัง,2025-04-09T20:38:53Z
573,@yongnoom6725,วาปนางเอกหน่อย,2025-04-09T19:58:03Z
574,@Sigsauer-320,เพลงนี้ยังไงก็เลย 30m ไม่เกินอมขี้มาพ่นใส่หน้ากุเลย,2025-04-09T19:56:48Z
575,@zbarkz5749,อะโห ;(,2025-04-09T19:31:45Z
576,@takkatayk,ถึงไม่กล้าไปรักคนอื่นเลย รักใครไม่ไหว “ มันยังเจ็บ ยังคิดถึงอยู่เลย🥺😢 ร้องไห้อีกแล้วว,2025-04-09T19:16:13Z
577,@วิสารคําน้อย,หลงทางไปนานเลยกว่าจะกลับมา,2025-04-09T18:40:38Z
578,@mobilephone5438,มันสะเทือนใจเรามาก ตอนฉากพี่เขาตอ่ยกัน 😥😭 Three Man Down เป็นวงที่ มาความสามารถล้นเหลือ ❤❤,2025-04-09T18:29:31Z
579,@NoppagornAiku-zv6yq,วงนี้มีเพลงรักบ้างมั้ยครับ😢,2025-04-09T18:24:45Z
580,@sutidasuankoon905,เขามูฟออนไปนานแล้ว แต่เรายังไม่กล้ารักใครเลย,2025-04-09T18:12:24Z
581,@มานิดามานิดา-ช6ม,"""รักใครไม่ไหว"" (เหมือนกัน)",2025-04-09T18:03:23Z
